0,25
0.000192661,25
0.000385321,25
0.000577982,25
0.000770642,25
0.000963303,25
0.00115596,25
0.00134862,25
0.00154128,25
0.00173394,25
0.00192661,25
0.00211927,25
0.00231193,25
0.00250459,25
0.00269725,25
0.00288991,25
0.00308257,25
0.00327523,25
0.00346789,25
0.00366055,25
0.00385321,25
0.00404587,25
0.00423853,25
0.00443119,25
0.00462385,25
0.00481651,25
0.00500917,25
0.00520183,25
0.0053945,25
0.00558716,25
0.00577982,25
0.00597248,24.9999
0.00616514,24.999
0.0063578,25.0097
0.00655046,25.3074
0.00674312,47.6512
0.00693578,2185.37
0.00712844,2534.42
0.0073211,1770.73
0.00751376,1537.15
0.00770642,1459.9
0.00789908,1396.4
0.00809174,1275.52
0.0082844,1130.25
0.00847706,1015.14
0.00866972,917.927
0.00886239,837.866
0.00905505,769.713
0.00924771,710.692
0.00944037,659.243
0.00963303,613.973
0.00982569,573.725
0.0100183,537.858
0.010211,505.931
0.0104037,477.612
0.0105963,452.374
0.010789,429.775
0.0109817,409.459
0.0111743,391.131
0.011367,374.537
0.0115596,359.462
0.0117523,345.721
0.011945,333.156
0.0121376,321.631
0.0123303,311.027
0.0125229,301.244
0.0127156,292.195
0.0129083,283.798
0.0131009,275.983
0.0132936,268.69
0.0134862,261.866
0.0136789,255.465
0.0138716,144.784
0.0140642,149.131
0.0142569,153.856
0.0144495,158.266
0.0146422,161.988
0.0148349,164.946
0.0150275,167.197
0.0152202,168.841
0.0154128,169.979
0.0156055,170.7
0.0157982,171.078
0.0159908,171.173
0.0161835,171.033
0.0163761,170.698
0.0165688,170.198
0.0167615,169.56
0.0169541,168.806
0.0171468,167.953
0.0173394,167.016
0.0175321,166.009
0.0177248,164.943
0.0179174,163.826
0.0181101,162.667
0.0183028,161.474
0.0184954,160.252
0.0186881,159.007
0.0188807,157.743
0.0190734,156.466
0.0192661,155.178
0.0194587,153.883
0.0196514,152.584
0.019844,151.285
0.0200367,150.013
0.0202294,150.791
0.020422,272.93
0.0206147,1483.27
0.0208073,1915.15
0.021,1734.24
0.0211927,1583.48
0.0213853,1478.78
0.021578,1423.68
0.0217706,1377.59
0.0219633,1325.59
0.022156,1269.62
0.0223486,1225.28
0.0225413,1166.56
0.0227339,1102.7
0.0229266,1040.72
0.0231193,982.745
0.0233119,930.184
0.0235046,882.195
0.0236972,838.293
0.0238899,798.097
0.0240826,761.229
0.0242752,727.5
0.0244679,696.462
0.0246606,667.772
0.0248532,641.127
0.0250459,616.352
0.0252385,593.279
0.0254312,571.737
0.0256239,551.595
0.0258165,532.745
0.0260092,515.105
0.0262018,498.577
0.0263945,483.096
0.0265872,468.575
0.0267798,454.943
0.0269725,442.127
0.0271651,430.062
0.0273578,418.688
0.0275505,374.75
0.0277431,341.562
0.0279358,319.606
0.0281284,305.177
0.0283211,295.405
0.0285138,288.476
0.0287064,283.293
0.0288991,279.196
0.0290917,275.786
0.0292844,272.817
0.0294771,270.136
0.0296697,267.646
0.0298624,265.285
0.030055,263.01
0.0302477,260.795
0.0304404,258.622
0.030633,256.479
0.0308257,254.357
0.0310183,252.252
0.031211,250.161
0.0314037,248.081
0.0315963,246.012
0.031789,243.953
0.0319817,241.905
0.0321743,239.869
0.032367,237.844
0.0325596,235.832
0.0327523,233.834
0.032945,231.851
0.0331376,229.883
0.0333303,227.93
0.0335229,225.995
0.0337156,224.077
0.0339083,222.212
0.0341009,221.891
0.0342936,264.749
0.0344862,558.027
0.0346789,972.204
0.0348716,1183
0.0350642,1235.53
